,open,close,high,low,volume,money,median,hash_close,trend,trend_c,trend_d,action,mode_pos,security,ma5,ma10,ma60,p_close,today_c,ma5_pos,ma60_pos,ma5_ma10,prev_c1,prev_c2,prev_c3,openjump,downline,upline,future_c1,future_c2,future_c3,future_c4,p100_pos,ma10_ang,ma60_ang
2013-04-11,20.42,19.99,20.42,19.94,9210044.0,185332112.0,20.2,20.0,down,-0.02,1,,0.308,600362.XSHG,20.06,20.093,21.734,20.3,-0.0153,-0.003,-0.08,-0.002,0.011000000000000001,0.008,-0.004,0.0059,0.0236,0.0,-0.008,-0.055,-0.061,-0.061,0.297,-0.09,-0.05
2014-06-24,7.18,7.1,7.18,6.99,6376178.0,45083960.0,7.14,7.12,down,-0.01,1,,1.0,002352.XSHE,6.84,6.629,6.435,7.17,-0.0098,0.038,0.10300000000000001,0.032,0.040999999999999995,0.054000000000000006,0.006,0.0014,0.0265,0.0,-0.02,0.025,-0.003,-0.003,0.632,0.26,-0.02
2014-04-04,6.4,6.51,6.55,6.39,4459840.0,28992780.0,6.46,6.52,up,0.03,1,,0.667,600061.XSHG,6.432,6.627000000000001,6.035,6.44,0.0109,0.012,0.079,-0.028999999999999998,-0.006,0.013999999999999999,0.008,-0.0062,0.0016,0.0233,0.006,0.034,0.032,0.032,0.763,-0.09,0.05
2014-09-15,5.0,5.24,5.25,5.0,47031909.0,242570640.0,5.12,5.24,up,0.06,3,sell,0.9470000000000001,300136.XSHE,5.06,5.016,4.329,5.03,0.0417,0.036000000000000004,0.21,0.009000000000000001,0.0,-0.004,0.02,-0.006,0.0,0.0497,-0.038,-0.046,-0.038,-0.038,1.0,0.35,0.13
2010-03-15,2.83,2.84,2.86,2.82,3285443.0,9335752.0,2.84,2.84,down,-0.07,3,,0.778,002050.XSHE,2.8960000000000004,2.9389999999999996,2.863,2.83,0.0035,-0.019,-0.008,-0.015,-0.01,-0.021,-0.036000000000000004,0.0,0.0035,0.0106,-0.004,0.021,0.018000000000000002,0.018000000000000002,0.701,0.02,0.0
2016-08-25,23.79,23.48,23.8,23.12,10968098.0,256989720.89,23.64,23.48,down,-0.02,1,,0.625,300144.XSHE,23.674,23.646,23.737,23.89,-0.0172,-0.008,-0.011000000000000001,0.001,0.012,-0.006999999999999999,0.006,-0.0042,0.027999999999999997,0.0004,0.0,0.006,-0.003,-0.003,0.147,0.14,-0.02
2010-10-12,5.36,5.5,5.61,5.33,186001866.0,1025550848.0,5.43,5.52,up,0.11,3,,0.889,600383.XSHG,5.244,5.056,5.341,5.42,0.0148,0.049,0.03,0.037000000000000005,0.038,0.01,0.053,-0.0111,0.0055,0.0461,0.075,0.042,0.071,0.071,0.7390000000000001,0.06,0.02
2014-12-10,4.35,4.48,4.52,4.34,11220827.0,49658484.0,4.42,4.48,up,0.02,1,,0.429,600438.XSHG,4.476,4.567,4.533,4.37,0.0252,0.001,-0.012,-0.02,-0.013999999999999999,-0.002,-0.047,-0.0046,0.0023,0.0389,0.009000000000000001,0.009000000000000001,0.02,0.02,0.301,-0.01,-0.05
2016-11-03,7.02,7.07,7.15,6.98,17144804.0,121098778.0,7.04,7.08,up,-0.04,1,,0.528,600176.XSHG,7.0920000000000005,7.192,7.225,7.03,0.0057,-0.003,-0.021,-0.013999999999999999,-0.017,0.006,0.001,-0.0014,0.0057,0.0185,-0.004,-0.008,-0.001,-0.001,0.706,-0.05,-0.02
2015-08-10,29.79,30.38,30.52,29.1,15235873.0,455136704.0,30.08,30.4,up,0.04,1,sell,0.455,600535.XSHG,29.822,29.283,32.963,29.55,0.0281,0.019,-0.078,0.018000000000000002,0.01,-0.013000000000000001,-0.02,0.0081,0.0234,0.0247,-0.013000000000000001,-0.053,-0.044000000000000004,-0.044000000000000004,0.349,-0.21,-0.04
2016-08-19,2.87,2.99,3.04,2.83,456032746.0,1340849985.0,2.93,3.0,up,0.13,1,sell,1.0,600219.XSHG,2.8560000000000003,2.792,2.6210000000000004,2.85,0.0491,0.047,0.141,0.023,-0.013999999999999999,0.059000000000000004,-0.032,0.006999999999999999,0.013999999999999999,0.0596,-0.006999999999999999,-0.057,-0.06,-0.06,1.0,0.22,0.11
2013-05-29,2.31,2.31,2.32,2.29,24114674.0,55636200.0,2.31,2.32,up,0.01,1,sell,0.4,000898.XSHE,2.3,2.303,2.351,2.31,0.0,0.004,-0.017,-0.001,0.009000000000000001,-0.004,0.004,0.0,0.0087,0.0043,-0.009000000000000001,-0.017,-0.022000000000000002,-0.022000000000000002,0.08800000000000001,0.02,-0.08
2011-04-28,1.05,0.96,1.05,0.95,81931693.0,80903416.0,1.0,0.96,down,-0.15,2,,0.368,300059.XSHE,1.04,1.045,1.163,1.05,-0.0857,-0.077,-0.175,-0.005,-0.009000000000000001,-0.027999999999999997,0.048,0.0,0.0952,0.0,0.01,0.021,0.0,0.0,0.0,-0.09,-0.07
2016-10-26,18.65,18.64,18.86,18.61,6256691.0,117011625.9,18.64,18.64,up,-0.02,1,,0.75,300003.XSHE,18.62,18.74,18.495,18.57,0.0038,0.001,0.008,-0.006,-0.005,0.008,-0.01,0.0043,0.0022,0.0113,-0.008,-0.025,-0.02,-0.02,0.772,0.04,0.0
2015-05-28,17.13,15.37,17.2,15.37,217784267.0,3561467136.0,16.25,15.36,down,0.13,8,,1.0,600352.XSHG,16.326,15.399000000000001,13.469000000000001,17.08,-0.1001,-0.059000000000000004,0.141,0.06,0.008,0.016,0.071,0.0029,0.10300000000000001,0.0041,0.024,0.077,0.184,0.184,0.792,0.48,0.21
2015-02-11,14.25,14.24,14.34,14.18,19382754.0,276349312.0,14.24,14.24,up,0.02,2,,0.625,600406.XSHG,14.152000000000001,14.504000000000001,14.797,14.24,0.0,0.006,-0.038,-0.024,0.011000000000000001,0.006,-0.012,0.0007,0.0049,0.0063,0.004,0.016,0.031,0.031,0.24600000000000002,-0.24,-0.03
2015-10-26,7.29,7.03,7.42,6.93,242696806.0,1744991488.0,7.16,7.04,down,0.28,2,,0.917,600516.XSHG,6.72,6.452999999999999,5.891,7.24,-0.028999999999999998,0.046,0.193,0.040999999999999995,0.1,0.08900000000000001,-0.1,0.0069,0.0497,0.018000000000000002,0.040999999999999995,-0.026000000000000002,-0.036000000000000004,-0.036000000000000004,0.439,0.6,-0.01
2016-02-17,19.61,20.05,20.23,19.47,75709680.0,1506220741.26,19.83,20.04,up,0.08,1,sell,0.185,002673.XSHE,19.406,19.533,26.494,19.81,0.0121,0.033,-0.243,-0.006999999999999999,0.07,-0.022000000000000002,-0.042,-0.0101,0.0071,0.0313,-0.022000000000000002,-0.022000000000000002,0.028999999999999998,0.028999999999999998,0.359,-0.3,-0.26
2012-05-08,6.62,6.61,6.65,6.47,2021437.0,13250265.0,6.62,6.6,up,0.06,4,,1.0,002352.XSHE,6.507999999999999,6.415,6.585,6.59,0.003,0.016,0.004,0.013999999999999999,0.012,0.011000000000000001,0.008,0.0046,0.0228,0.0046,-0.024,0.0,0.0,0.0,0.575,0.02,0.01
2010-11-18,3.87,3.87,3.95,3.85,4660369.0,18092612.0,3.87,3.88,up,0.0,1,,0.643,002050.XSHE,3.8760000000000003,4.03,3.7680000000000002,3.86,0.0026,-0.002,0.027000000000000003,-0.038,-0.01,-0.015,0.045,0.0026,0.0052,0.0207,0.034,0.083,0.08,0.08,0.748,-0.22,0.09
2016-03-03,7.96,7.98,8.03,7.92,70111678.0,559045201.62,7.97,8.0,up,0.06,2,,0.217,000001.XSHE,7.772,7.852,8.625,7.97,0.0013,0.027000000000000003,-0.075,-0.01,0.042,0.015,-0.023,-0.0013,0.005,0.0088,0.027999999999999997,0.023,0.016,0.016,0.165,-0.06,-0.1
